"Id","number_of_days_data_collected"
4057192912,4
2347167796,18
8253242879,19
3372868164,20
6775888955,26
7007744171,26
6117666160,28
6290855005,29
8792009665,29
1644430081,30
3977333714,30
5577150313,30
1503960366,31
1624580081,31
1844505072,31
1927972279,31
2022484408,31
2026352035,31
2320127002,31
2873212765,31
4020332650,31
4319703577,31
4388161847,31
4445114986,31
4558609924,31
4702921684,31
5553957443,31
6962181067,31
7086361926,31
8053475328,31
8378563200,31
8583815059,31
8877689391,31
