"Id","SleepDay","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","date","day","total_time_awake_in_bed"
1503960366,"4/12/2016 12:00:00 AM",1,327,346,2016-04-12,"Tuesday",19
1503960366,"4/13/2016 12:00:00 AM",2,384,407,2016-04-13,"Wednesday",23
1503960366,"4/15/2016 12:00:00 AM",1,412,442,2016-04-15,"Friday",30
1503960366,"4/16/2016 12:00:00 AM",2,340,367,2016-04-16,"Saturday",27
1503960366,"4/17/2016 12:00:00 AM",1,700,712,2016-04-17,"Sunday",12
1503960366,"4/19/2016 12:00:00 AM",1,304,320,2016-04-19,"Tuesday",16
1503960366,"4/20/2016 12:00:00 AM",1,360,377,2016-04-20,"Wednesday",17
1503960366,"4/21/2016 12:00:00 AM",1,325,364,2016-04-21,"Thursday",39
1503960366,"4/23/2016 12:00:00 AM",1,361,384,2016-04-23,"Saturday",23
1503960366,"4/24/2016 12:00:00 AM",1,430,449,2016-04-24,"Sunday",19
1503960366,"4/25/2016 12:00:00 AM",1,277,323,2016-04-25,"Monday",46
1503960366,"4/26/2016 12:00:00 AM",1,245,274,2016-04-26,"Tuesday",29
1503960366,"4/28/2016 12:00:00 AM",1,366,393,2016-04-28,"Thursday",27
1503960366,"4/29/2016 12:00:00 AM",1,341,354,2016-04-29,"Friday",13
1503960366,"4/30/2016 12:00:00 AM",1,404,425,2016-04-30,"Saturday",21
1503960366,"5/1/2016 12:00:00 AM",1,369,396,2016-05-01,"Sunday",27
1503960366,"5/2/2016 12:00:00 AM",1,277,309,2016-05-02,"Monday",32
1503960366,"5/3/2016 12:00:00 AM",1,273,296,2016-05-03,"Tuesday",23
1503960366,"5/5/2016 12:00:00 AM",1,247,264,2016-05-05,"Thursday",17
1503960366,"5/6/2016 12:00:00 AM",1,334,367,2016-05-06,"Friday",33
1503960366,"5/7/2016 12:00:00 AM",1,331,349,2016-05-07,"Saturday",18
1503960366,"5/8/2016 12:00:00 AM",1,594,611,2016-05-08,"Sunday",17
1503960366,"5/9/2016 12:00:00 AM",1,338,342,2016-05-09,"Monday",4
1503960366,"5/10/2016 12:00:00 AM",1,383,403,2016-05-10,"Tuesday",20
1503960366,"5/11/2016 12:00:00 AM",1,285,306,2016-05-11,"Wednesday",21
1644430081,"4/29/2016 12:00:00 AM",1,119,127,2016-04-29,"Friday",8
1644430081,"4/30/2016 12:00:00 AM",1,124,142,2016-04-30,"Saturday",18
1644430081,"5/2/2016 12:00:00 AM",1,796,961,2016-05-02,"Monday",165
1644430081,"5/8/2016 12:00:00 AM",1,137,154,2016-05-08,"Sunday",17
1844505072,"4/15/2016 12:00:00 AM",1,644,961,2016-04-15,"Friday",317
1844505072,"4/30/2016 12:00:00 AM",1,722,961,2016-04-30,"Saturday",239
1844505072,"5/1/2016 12:00:00 AM",1,590,961,2016-05-01,"Sunday",371
1927972279,"4/12/2016 12:00:00 AM",3,750,775,2016-04-12,"Tuesday",25
1927972279,"4/13/2016 12:00:00 AM",1,398,422,2016-04-13,"Wednesday",24
1927972279,"4/15/2016 12:00:00 AM",2,475,499,2016-04-15,"Friday",24
1927972279,"4/26/2016 12:00:00 AM",1,296,315,2016-04-26,"Tuesday",19
1927972279,"4/28/2016 12:00:00 AM",1,166,178,2016-04-28,"Thursday",12
2026352035,"4/12/2016 12:00:00 AM",1,503,546,2016-04-12,"Tuesday",43
2026352035,"4/13/2016 12:00:00 AM",1,531,565,2016-04-13,"Wednesday",34
2026352035,"4/14/2016 12:00:00 AM",1,545,568,2016-04-14,"Thursday",23
2026352035,"4/15/2016 12:00:00 AM",1,523,573,2016-04-15,"Friday",50
2026352035,"4/16/2016 12:00:00 AM",1,524,567,2016-04-16,"Saturday",43
2026352035,"4/17/2016 12:00:00 AM",1,437,498,2016-04-17,"Sunday",61
2026352035,"4/19/2016 12:00:00 AM",1,498,540,2016-04-19,"Tuesday",42
2026352035,"4/20/2016 12:00:00 AM",1,461,510,2016-04-20,"Wednesday",49
2026352035,"4/21/2016 12:00:00 AM",1,477,514,2016-04-21,"Thursday",37
2026352035,"4/22/2016 12:00:00 AM",1,520,545,2016-04-22,"Friday",25
2026352035,"4/23/2016 12:00:00 AM",1,522,554,2016-04-23,"Saturday",32
2026352035,"4/24/2016 12:00:00 AM",1,555,591,2016-04-24,"Sunday",36
2026352035,"4/25/2016 12:00:00 AM",1,506,531,2016-04-25,"Monday",25
2026352035,"4/27/2016 12:00:00 AM",1,508,545,2016-04-27,"Wednesday",37
